Value,Probability
1.0,0.0011724559330701795
219.265625,0.0
437.53125,0.0
655.796875,0.0
874.0625,0.0
1092.328125,0.0
1310.59375,0.0
1528.859375,0.0
1747.125,0.0
1965.390625,0.0
2183.65625,0.0
2401.921875,0.0
2620.1875,0.0
2838.453125,0.0
3056.71875,0.0
3274.984375,0.0
3493.25,0.0
3711.515625,0.0
3929.78125,0.0
4148.046875,0.0
4366.3125,0.0
4584.578125,0.0
4802.84375,0.0
5021.109375,0.0
5239.375,0.0
5457.640625,0.0
5675.90625,0.0
5894.171875,0.0
6112.4375,0.0
6330.703125,0.0
6548.96875,0.0
6767.234375,9.275942428214004e-09
6985.5,4.637971214107002e-09
7203.765625,9.275942428214004e-09
7422.03125,9.275942428214004e-09
7640.296875,4.637971214107002e-09
7858.5625,1.3913913642321006e-08
8076.828125,4.637971214107002e-09
8295.09375,9.275942428214004e-09
8513.359375,2.318985607053501e-08
8731.625,1.8551884856428007e-08
8949.890625,9.275942428214004e-09
9168.15625,3.2465798498749016e-08
9386.421875,4.637971214107002e-08
9604.6875,3.2465798498749016e-08
9822.953125,1.8551884856428007e-08
10041.21875,3.2465798498749016e-08
10259.484375,3.2465798498749016e-08
10477.75,3.7103769712856015e-08
10696.015625,5.101768335517702e-08
10914.28125,7.884551063981903e-08
11132.546875,1.0667333792446103e-07
11350.8125,9.275942428214004e-08
11569.078125,7.884551063981903e-08
11787.34375,1.2522522278088904e-07
12005.609375,1.2986319399499607e-07
12223.875,1.5305305006553106e-07
12442.140625,1.9479479099249407e-07
12660.40625,2.968301577028481e-07
12878.671875,2.4581247434767106e-07
13096.9375,2.3653653191945709e-07
13315.203125,3.200200137733831e-07
13533.46875,3.4784784105802513e-07
13751.734375,5.009008911235562e-07
13970.0,5.009008911235562e-07
14188.265625,6.214881426903382e-07
14406.53125,5.658324881210542e-07
14624.796875,6.725058260455153e-07
14843.0625,8.348348185392603e-07
15061.328125,1.0249916383176472e-06
15279.59375,9.646980125342563e-07
15497.859375,1.2290623717383554e-06
15716.125,1.2290623717383554e-06
15934.390625,1.4563229612295986e-06
16152.65625,1.5908241264387016e-06
16370.921875,1.8134467447158375e-06
16589.1875,2.008241535708332e-06
16807.453125,2.458124743476711e-06
17025.71875,2.6065398223281353e-06
17243.984375,2.819886498177057e-06
17462.25,3.2280279650184733e-06
17680.515625,3.6547213167163173e-06
17898.78125,4.322589171547726e-06
18117.046875,4.072138725985947e-06
18335.3125,4.7075407823186065e-06
18553.578125,5.203803702228056e-06
18771.84375,5.7742741615632165e-06
18990.109375,6.200967513261061e-06
19208.375,6.841007540807828e-06
19426.640625,7.689756272989408e-06
19644.90625,8.39936586874778e-06
19863.171875,8.691558055236521e-06
20081.4375,9.20173488878829e-06
20299.703125,9.948448254259518e-06
20517.96875,1.144651295641608e-05
20736.234375,1.191031007782678e-05
20954.5,1.2935301716144428e-05
21172.765625,1.3774774505897795e-05
21391.03125,1.4484384101656167e-05
21609.296875,1.5059492532205434e-05
21827.5625,1.655291926314789e-05
22045.828125,1.8078811792589095e-05
22264.09375,1.8259692669939265e-05
22482.359375,2.018908869500778e-05
22700.625,2.0875508434695617e-05
22918.890625,2.2327193424711105e-05
23137.15625,2.248024647477664e-05
23355.421875,2.3662929134373923e-05
23573.6875,2.4701834686333888e-05
23791.953125,2.6070036194495456e-05
24010.21875,2.6798197675110255e-05
24228.484375,2.730373653744792e-05
24446.75,2.8152485269629497e-05
24665.015625,2.9107907339735542e-05
24883.28125,2.9877810561277303e-05
25101.546875,2.9831430849136238e-05
25319.8125,3.081004277531281e-05
25538.078125,3.0462194934254784e-05
25756.34375,3.160313585292511e-05
25974.609375,3.208084688797813e-05
26192.875,3.301307910201364e-05
26411.140625,3.2410142844179725e-05
26629.40625,3.3064096785368816e-05
26847.671875,3.261885154881454e-05
27065.9375,3.367630898563094e-05
27284.203125,3.424214147375199e-05
27502.46875,3.400560494183254e-05
27720.734375,3.3922121459978615e-05
27939.0,3.4942475127082153e-05
28157.265625,3.4325624955605916e-05
28375.53125,3.530423688178249e-05
28593.796875,3.638024620345532e-05
28812.0625,3.661214476416067e-05
29030.328125,3.684404332486602e-05
29248.59375,3.757220480548082e-05
29466.859375,3.865285209836775e-05
29685.125,4.061007595072091e-05
29903.390625,4.154230816475641e-05
30121.65625,4.1774206725461765e-05
30339.921875,4.498368280562381e-05
30558.1875,4.5920552990873423e-05
30776.453125,4.739542783695945e-05
30994.71875,5.0039071429000443e-05
31212.984375,5.163453352665325e-05
31431.25,5.2729094733182497e-05
31649.515625,5.5748413993566156e-05
31867.78125,5.681050940159666e-05
32086.046875,5.861004223267018e-05
32304.3125,6.0061727222685675e-05
32522.578125,6.133716930656509e-05
32740.84375,6.199576121896829e-05
32959.109375,6.37906560788277e-05
33177.375,6.345672215141199e-05
33395.640625,6.399936478346252e-05
33613.90625,6.658271474972012e-05
33832.171875,6.44492479912309e-05
34050.4375,6.295118328907434e-05
34268.703125,6.330830707256057e-05
34486.96875,6.172675888855009e-05
34705.234375,6.0766698847229937e-05
34923.5,5.752011899735503e-05
35141.765625,5.59756745830574e-05
35360.03125,5.271981879075429e-05
35578.296875,5.117537437645665e-05
35796.5625,4.825809048278335e-05
36014.828125,4.582315559537718e-05
36233.09375,4.315632214726565e-05
36451.359375,3.957580836997504e-05
36669.625,3.7766999596473314e-05
36887.890625,3.445548814960091e-05
37106.15625,3.146863468771601e-05
37324.421875,2.97433093960682e-05
37542.6875,2.7030096235815605e-05
37760.953125,2.5017216728893165e-05
37979.21875,2.2341107338353427e-05
38197.484375,1.9836602882735645e-05
38415.75,1.885335298534496e-05
38634.015625,1.6455521867651643e-05
38852.28125,1.4860059769998833e-05
39070.546875,1.3236769845061382e-05
39288.8125,1.2012345444537134e-05
39507.078125,1.0829662784939849e-05
39725.34375,1.0120053189181476e-05
39943.609375,8.682282112808308e-06
40161.875,8.046880056475648e-06
40380.140625,7.2305971227928154e-06
40598.40625,6.51171158460623e-06
40816.671875,5.899499384344107e-06
41034.9375,5.245545443155019e-06
41253.203125,4.93480137180985e-06
41471.46875,4.276209459406655e-06
41689.734375,3.6639972591445312e-06
41908.0,3.362529130227576e-06
42126.265625,3.348615216585255e-06
42344.53125,2.7317650451090237e-06
42562.796875,2.601901851114028e-06
42781.0625,2.4766766283331388e-06
42999.328125,1.9711377659954756e-06
43217.59375,1.8412745720004796e-06
43435.859375,1.7624290613606606e-06
43654.125,1.4470470188013846e-06
43872.390625,1.3310977384487095e-06
44090.65625,1.1641307747408574e-06
44308.921875,1.0574574368163964e-06
44527.1875,8.719385882521164e-07
44745.453125,9.044043867508653e-07
44963.71875,8.997664155367583e-07
45181.984375,6.678678548314082e-07
45400.25,6.075742290480173e-07
45618.515625,5.982982866198032e-07
45836.78125,4.545211789824861e-07
46055.046875,5.240907471940912e-07
46273.3125,4.4060726534016515e-07
46491.578125,3.9886552441320214e-07
46709.84375,3.5712378348623913e-07
46928.109375,3.756756683426671e-07
47146.375,2.5508841677588505e-07
47364.640625,1.8551884856428007e-07
47582.90625,1.4377710763731703e-07
47801.171875,1.9479479099249407e-07
48019.4375,1.5769102127963806e-07
48237.703125,1.6696696370785205e-07
48455.96875,1.1131130913856804e-07
48674.234375,1.3913913642321004e-07
48892.5,9.275942428214004e-08
49110.765625,6.956956821160502e-08
49329.03125,6.493159699749803e-08
49547.296875,6.029362578339102e-08
49765.5625,2.318985607053501e-08
49983.828125,1.8551884856428007e-08
50202.09375,1.8551884856428007e-08
50420.359375,2.318985607053501e-08
50638.625,1.8551884856428007e-08
50856.890625,3.7103769712856015e-08
51075.15625,9.275942428214004e-09
51293.421875,1.3913913642321006e-08
51511.6875,1.3913913642321006e-08
51729.953125,2.318985607053501e-08
51948.21875,4.637971214107002e-09
52166.484375,4.637971214107002e-09
52384.75,1.3913913642321006e-08
52603.015625,4.637971214107002e-09
52821.28125,4.637971214107002e-09
53039.546875,0.0
53257.8125,4.637971214107002e-09
53476.078125,0.0
53694.34375,0.0
53912.609375,4.637971214107002e-09
54130.875,9.275942428214004e-09
54349.140625,4.637971214107002e-09
54567.40625,0.0
54785.671875,0.0
55003.9375,4.637971214107002e-09
55222.203125,0.0
55440.46875,0.0
55658.734375,9.275942428214004e-09
